id,ano,valor_total
73486,2024,667780.2699999999
73486,2023,644056.539999999
220536,2024,635410.0700000001
224117,2025,634574.7300000001
224117,2024,627373.8300000001
220662,2024,621927.5499999996
220589,2025,618519.46
220537,2025,617489.93
220578,2025,617270.0200000001
204423,2024,615871.9699999999
220608,2025,615228.9100000004
220538,2025,614116.4
220588,2025,613995.7200000003
220539,2024,613995.5800000003
204360,2025,612235.3799999997
73486,2025,611758.3200000003
220538,2024,611348.7200000002
220591,2025,610769.0700000006
220590,2025,609034.1900000001
220597,2025,607179.33
220591,2024,606896.380000001
204557,2025,606604.5799999996
220537,2024,606129.5900000003
204423,2023,604737.9399999998
141459,2024,602617.589999999
141459,2025,602581.8199999997
160591,2024,602510.2299999986
220590,2023,602214.2699999992
220536,2023,601500.9099999998
141408,2024,601217.9799999996
160591,2023,600943.4899999993
204473,2024,600795.2699999998
178964,2025,600586.7799999997
74090,2024,598487.3399999999
220713,2024,598040.3899999984
230768,2025,597965.7900000004
220590,2024,597642.9300000005
220714,2024,597331.7899999996
204358,2023,596767.2900000002
123756,2025,596611.3899999994
220574,2024,595103.3199999988
220537,2023,594566.5799999997
204360,2023,593465.51
74044,2025,592381.4599999998
204453,2025,592224.5299999968
188097,2025,591388.13
220574,2025,591318.9599999996
204473,2025,591187.9300000002
204479,2025,591178.4800000002
204379,2023,591112.8499999997
74454,2024,590671.0500000003
160591,2025,590210.7699999998
204473,2023,590048.9700000003
141408,2023,590041.3700000006
178954,2025,589544.8100000008
160635,2025,588401.7900000002
74044,2023,588154.9900000001
220540,2025,588096.7699999998
109429,2025,587789.8599999996
204481,2025,587097.6800000004
204453,2024,586954.3099999974
220609,2025,586837.16
220666,2024,586393.7800000003
204378,2025,585394.8099999994
91228,2024,585360.04
220608,2024,584718.4999999999
220714,2025,584485.6499999998
141408,2025,583902.3199999996
220658,2024,583575.4299999997
204360,2024,583274.4
204479,2023,583008.53
153423,2024,582754.8600000003
122974,2025,582256.1599999999
123086,2024,580589.0399999991
204406,2023,580179.8799999998
220610,2025,580128.7099999994
220555,2024,580049.8799999998
220688,2025,579906.2899999995
220540,2024,579767.23
204488,2025,579463.05
220667,2025,579386.8599999998
141485,2025,579348.4600000005
74041,2025,578641.9199999991
204426,2024,578353.8799999999
204406,2024,578219.5500000003
204481,2024,577801.7099999995
220564,2025,577343.0399999995
91228,2025,577124.3799999999
204423,2025,576900.6000000001
178908,2024,576731.3799999999
204406,2025,576585.2799999996
143632,2024,576319.7899999998
220592,2025,575220.3299999997
74374,2025,575131.8500000004
204358,2025,575070.6699999998
178954,2024,574982.0900000007
178835,2024,574961.4999999997
204550,2023,574869.78
220539,2025,574811.9400000001
160629,2025,574632.5000000001
220610,2023,574514.7999999998
141421,2024,574133.6199999995
74374,2024,574031.5499999998
204479,2024,573887.5300000003
220609,2024,573873.7000000005
220589,2023,573578.6399999997
62881,2024,573261.5000000003
220546,2025,573059.0999999999
178908,2025,573051.03
74060,2024,572620.76
191923,2025,572440.0800000001
204426,2025,572151.3599999996
178997,2023,572098.94
220553,2025,572086.8099999985
74041,2024,571978.6199999991
178997,2025,571922.6299999999
141459,2023,571858.1800000004
220661,2024,571773.1899999996
204378,2024,571503.2300000001
220551,2025,571185.9299999999
204498,2024,571097.0500000003
220676,2025,571060.0199999997
220538,2023,570765.1899999998
213762,2025,570680.1999999997
178866,2024,570401.8499999994
133439,2025,570367.1399999999
74043,2025,570175.0999999997
204431,2024,569921.4900000003
180214,2024,569715.9200000003
123756,2024,569240.19
160517,2025,568874.8300000003
220708,2024,568849.3099999999
220588,2024,568839.6700000004
141421,2025,568656.2700000004
141470,2025,567840.6000000003
204495,2024,567838.4699999997
160665,2025,567630.9500000003
220573,2024,567566.9099999991
81055,2025,567438.9099999999
204396,2024,567399.34
220658,2025,567355.6300000001
109429,2024,567215.8899999993
178963,2024,567116.8299999995
160553,2024,566869.28
220697,2023,566827.7199999996
220610,2024,566699.5899999999
204379,2024,566418.0899999988
136811,2025,566058.72
81055,2024,565473.3499999989
191923,2024,565472.8599999999
74398,2023,565400.2999999982
