id,tipoDespesa,valorLiquido,ranking
204431,COMBUSTÍVEIS E LUBRIFICANTES.,273347.71,3.0
220609,PASSAGEM AÉREA - SIGEPA,385109.16,3.0
160673,PASSAGEM AÉREA - SIGEPA,86049.3,5.0
160674,COMBUSTÍVEIS E LUBRIFICANTES.,183488.81,4.0
141459,COMBUSTÍVEIS E LUBRIFICANTES.,141191.28,4.0
220697,PASSAGEM AÉREA - SIGEPA,258367.49,2.0
204360,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,85379.61,4.0
220561,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,648575.34,1.0
220688,COMBUSTÍVEIS E LUBRIFICANTES.,291679.52,4.0
220592,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1255552.0,1.0
220558,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,256044.66,3.0
220590,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,99253.54,5.0
220677,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,57286.8,5.0
178866,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,187966.94,4.0
178963,COMBUSTÍVEIS E LUBRIFICANTES.,67991.26,5.0
178866,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,272874.58,3.0
62881,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,719158.91,1.0
220551,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,554866.02,1.0
178866,COMBUSTÍVEIS E LUBRIFICANTES.,73063.97,5.0
143632,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,321622.5,2.0
220685,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,254473.0,3.0
220672,COMBUSTÍVEIS E LUBRIFICANTES.,123889.3,5.0
178997,TELEFONIA,8388.36,5.0
178964,PASSAGEM AÉREA - SIGEPA,263070.61,3.0
160665,PASSAGEM AÉREA - SIGEPA,253997.22,3.0
220666,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",92820.99,5.0
220555,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,518858.61,2.0
160538,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,358303.06,2.0
209189,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,428649.22,2.0
141459,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,981100.0,1.0
160674,PASSAGEM AÉREA - SIGEPA,308325.48,2.0
220677,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,319700.0,3.0
220658,PASSAGEM AÉREA - SIGEPA,319571.1,2.0
160559,COMBUSTÍVEIS E LUBRIFICANTES.,281042.09,4.0
220591,COMBUSTÍVEIS E LUBRIFICANTES.,261592.07,3.0
220608,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,666260.96,1.0
220546,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,432000.0,2.0
74041,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,350757.03,3.0
220677,COMBUSTÍVEIS E LUBRIFICANTES.,66460.22,4.0
143632,LOCAÇÃO OU FRETAMENTO DE AERONAVES,107800.0,4.0
178829,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,843360.34,1.0
220666,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,211560.33,3.0
220708,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,309016.98,2.0
160591,PASSAGEM AÉREA - SIGEPA,316041.82,2.0
220544,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,311510.73,2.0
62881,COMBUSTÍVEIS E LUBRIFICANTES.,78541.29,5.0
204388,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,442177.33,2.0
204431,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,444000.0,2.0
191923,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,421400.0,2.0
74060,COMBUSTÍVEIS E LUBRIFICANTES.,207768.13,2.0
220714,COMBUSTÍVEIS E LUBRIFICANTES.,114964.03,5.0
122974,PASSAGEM AÉREA - SIGEPA,223439.7,4.0
204431,PASSAGEM AÉREA - SIGEPA,160919.35,4.0
160673,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,484953.19,2.0
204453,COMBUSTÍVEIS E LUBRIFICANTES.,205910.0,4.0
220555,PASSAGEM AÉREA - SIGEPA,209211.87,3.0
220581,COMBUSTÍVEIS E LUBRIFICANTES.,166253.3,4.0
204379,COMBUSTÍVEIS E LUBRIFICANTES.,144490.94,4.0
220574,PASSAGEM AÉREA - SIGEPA,363151.18,2.0
220658,PASSAGEM AÉREA - REEMBOLSO,29869.49,5.0
204479,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,156600.0,4.0
220540,COMBUSTÍVEIS E LUBRIFICANTES.,280312.35,3.0
220590,COMBUSTÍVEIS E LUBRIFICANTES.,262243.92,3.0
160674,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",16047.01,5.0
220714,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,255000.0,2.0
178954,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,667239.62,1.0
204498,PASSAGEM AÉREA - RPA,26770.08,3.0
81055,PASSAGEM AÉREA - SIGEPA,380605.9,3.0
220609,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,388029.63,2.0
220662,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,844434.4,1.0
73486,COMBUSTÍVEIS E LUBRIFICANTES.,205295.94,4.0
