id,nomeCivil,siglaUF,siglaPartido
98148,VALDIR VITAL COBALCHINI,SC,MDB
220594,JONILDO JOSÉ DE ASSIS,MT,UNIÃO
204378,JOÃO CHRISÓSTOMO DE MOURA,RO,PL
220595,RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA,MT,PL
220666,LUIZ DE FRANÇA E SILVA MEIRA,PE,PL
220590,ULYSSES FREITAS PEREIRA DE ARAÚJO,AC,UNIÃO
178963,LUIS ANTONIO FRANCISCATTO COVATTI,RS,PP
220608,CRISTIANE LOPES DA LUZ,RO,UNIÃO
204355,JOSIAS MARIO DA VITORIA,ES,PP
141411,DAGOBERTO NOGUEIRA FILHO,MS,PSDB
220555,DAIANA SILVA DOS SANTOS,RS,PCdoB
220692,ADALBERTO ROSA BARRETO,BA,UNIÃO
74467,DAMIÃO FELICIANO DA SILVA,PB,UNIÃO
220629,DANDARA TONANTZIN SILVA CASTRO,MG,PT
220603,DANIELLE DYTZ DA CUNHA,RJ,UNIÃO
220571,DANIEL VIEIRA RAMOS,GO,PL
74060,DANIEL GOMES DE ALMEIDA,BA,PCdoB
220582,DANIEL BARBOSA DE ALMEIDA SILVA,AL,PP
204367,DANIEL COSTA DE FREITAS,SC,PL
204409,DANIEL TRZECIAK DUARTE,RS,PSDB
204459,DANIELA MOTE DE SOUZA CARNEIRO,RJ,UNIÃO
220557,DANIELA CRISTINA REINEHR,SC,PL
62881,FRANCISCO DANILO BASTOS FORTE,CE,UNIÃO
160552,DANRLEI DE DEUS HINTERHOLZ,RS,PSD
204511,DAVID BEZERRA RIBEIRO SOARES,SP,UNIÃO
220539,STÉLIO DENER DE SOUZA CRUZ,RR,REPUBLICANOS
220565,ADRIANA SAUTHIER ACCORSI,GO,PT
220625,IONE MARIA MOREIRA DIAS BARBOSA,MG,AVANTE
220561,KATARINA FEITOZA LIMA SANTANA,SE,PSD
220642,BRUNO MARCELLO DE OLIVEIRA LIMA,SP,PP
220673,LENILDO MENDES DOS SANTOS SERTÃO,PA,PL
220649,CARLOS ALBERTO DA CUNHA,SP,PP
178908,EDER MAURO CARDOSO BARRA,PA,PL
220583,FABIO MICHEY COSTA DA SILVA,AL,PP
204512,MARCELO EDUARDO FREITAS,MG,UNIÃO
220701,MATHEUS ARAUJO LAIOLA,PR,UNIÃO
220652,MARIO PALUMBO JUNIOR,SP,MDB
220654,PAULO FRANCISCO MUNIZ BILYNSKYJ,SP,PL
220553,DENISE DA SILVA PESSÔA,RS,PT
160588,DIEGO LEONARDO DE ANDRADE CARVALHO,MG,PSD
220691,DIEGO HENRIQUE SILVA CERQUEIRA MARTINS,BA,PSD
178929,DIEGO ALEXSANDER GONCALO PAULA GARCIA,PR,REPUBLICANOS
73768,DILCEU JOÃO SPERAFICO,PR,PP
220671,DILVANDA FURTADO FARO,PA,PT
160599,DIMAS FABIANO TOLEDO JÚNIOR,MG,PP
220602,DIMAS DE PAIVA GADELHA JUNIOR,RJ,PT
143632,DOMINGOS GOMES DE AGUIAR NETO,CE,PSD
160758,DOMINGOS SÁVIO CAMPOS RESENDE,MG,PL
220573,DORINALDO BARBOSA MALAFAIA,AP,PDT
204450,LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,RJ,PP
227991,FLAVIO CAMPOS FERREIRA,RJ,PL
220610,FERNANDO RODRIGUES MÁXIMO,RO,UNIÃO
220688,FRANCISCO DE ASSIS DE OLIVEIRA COSTA,PI,PT
204518,FREDERICO DE CASTRO ESCALEIRA,MG,PRD
220570,ISMAEL ALEXANDRINO JUNIOR,GO,PSD
204481,JAZIEL PEREIRA DE SOUSA,CE,PL
204351,LUIZ ALBERTO OVANDO,MS,PP
220528,VICTOR GAROZI LINHALIS,ES,PODE
204412,ZACARIAS CALIL HAMU,GO,UNIÃO
220674,ALESSANDRA HABER CARVALHO SANTOS,PA,MDB
220686,HILDELIS SILVA DUARTE JUNIOR,MA,PSB
220540,DUDA BRITO RAMOS,RR,MDB
220623,DUDA SALABERT ROSA,MG,PDT
141421,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,PE,PP
220589,EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA,AC,UNIÃO
74075,ELCIONE THEREZINHA ZAHLUTH BARBALHO,PA,MDB
204364,ELI DIAS BORGES,TO,PL
229585,ELISANGELA DOS SANTOS ARAUJO,BA,PT
178854,ELMAR JOSE VIEIRA NASCIMENTO,BA,UNIÃO
218086,ELIANE DE SOUSA ALVES,SP,REPUBLICANOS
198783,EMANUEL PINHEIRO DA SILVA PRIMO,MT,MDB
161550,EMIDIO ALVES MADEIRA JUNIOR,MG,PL
225730,ANA PAULA BRANDÃO DA SILVA FARIAS,CE,PODE
