id,tipoDespesa,valorLiquido,ranking
204445,COMBUSTÍVEIS E LUBRIFICANTES.,112928.75,5.0
160640,PASSAGEM AÉREA - SIGEPA,463227.28,1.0
225730,COMBUSTÍVEIS E LUBRIFICANTES.,70324.9,4.0
220631,COMBUSTÍVEIS E LUBRIFICANTES.,216809.8,4.0
220554,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,112233.67,5.0
178886,TELEFONIA,5527.82,5.0
226179,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,525761.37,1.0
98615,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,387274.87,1.0
220649,COMBUSTÍVEIS E LUBRIFICANTES.,22353.670000000002,5.0
220573,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1236659.31,1.0
160558,PASSAGEM AÉREA - SIGEPA,478652.49,2.0
160569,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,326400.0,2.0
141391,PASSAGEM AÉREA - SIGEPA,231638.52,3.0
213762,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,80178.67,3.0
178931,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,215597.09,4.0
74374,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,220993.1,4.0
204459,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,310000.0,1.0
109429,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,442950.0,2.0
160673,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,346116.7,3.0
210989,COMBUSTÍVEIS E LUBRIFICANTES.,236311.44,4.0
165470,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,585010.1,1.0
178964,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,320436.39,2.0
220665,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,232249.43,3.0
220564,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,274012.6,3.0
204367,COMBUSTÍVEIS E LUBRIFICANTES.,164057.41,4.0
220584,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,70235.18000000001,5.0
204557,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,491050.42,2.0
204368,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,477278.0,1.0
220663,COMBUSTÍVEIS E LUBRIFICANTES.,178819.61000000002,5.0
73692,PASSAGEM AÉREA - SIGEPA,330887.35,3.0
178854,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,408776.57,1.0
220602,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,153191.11,3.0
213762,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,295209.7,1.0
220567,COMBUSTÍVEIS E LUBRIFICANTES.,220011.28,3.0
74084,PASSAGEM AÉREA - REEMBOLSO,24594.6,5.0
73531,PASSAGEM AÉREA - SIGEPA,232220.31,2.0
